Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Diary of a Wimpy Kid,2010,PG,19 Mar 2010,94 min,"Comedy, Drama, Family",Thor Freudenthal,"Jackie Filgo, Jeff Filgo, Gabe Sachs","Zachary Gordon, Robert Capron, Rachael Harris","Greg Heffley is a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.","English, German","United States, United Kingdom, Canada",5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTg3NzQ2NDgyNF5BMl5BanBnXkFtZTcwMDc1NzIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"61,897",tt1196141,movie,N/A,"$64,003,625",N/A,N/A,True
Mama,2013,PG-13,18 Jan 2013,100 min,"Fantasy, Horror, Thriller",Andy Muschietti,"Andy Muschietti, Barbara Muschietti, Neil Cross","Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier","Two little girls disappear into the woods the day that their parents were killed. When they are found 5 years later and begin a new life, they find that someone or something still wants to tuck them in at night.",English,"Canada, Spain",11 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTM5MjIwNDAwMl5BMl5BanBnXkFtZTcwNzQyOTY0OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"195,408",tt2023587,movie,N/A,"$71,628,180",N/A,N/A,True
Halloween,1978,R,27 Oct 1978,91 min,"Horror, Thriller",John Carpenter,"John Carpenter, Debra Hill","Donald Pleasence, Jamie Lee Curtis, Tony Moran","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",English,United States,9 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMzZiNTdiYTgtYjNkMS00MmJmLWEwZGQtNmY0NGJkMGE0YmYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.7,"323,265",tt0077651,movie,N/A,"$47,160,000",N/A,N/A,True
Inside Story: National Lampoon's Vacation,2011,N/A,N/A,85 min,Documentary,N/A,Rob Goldberg,"Geoffrey Proud, Chevy Chase, Harold Ramis",A look at the making of the classic comedy film.,English,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,43,tt7642624,movie,N/A,N/A,N/A,N/A,True
Jackass Presents: Bad Grandpa,2013,R,25 Oct 2013,92 min,Comedy,Jeff Tremaine,"Johnny Knoxville, Spike Jonze, Jeff Tremaine","Johnny Knoxville, Jackson Nicoll, Gregorio","86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father.","English, Spanish",United States,Nominated for 1 Oscar. 1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4NjIwMTI5OV5BMl5BanBnXkFtZTgwNjU1MTMyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.5,"99,409",tt3063516,movie,N/A,"$102,003,019",N/A,N/A,True
The Queen,2006,PG-13,17 Nov 2006,103 min,"Biography, Drama",Stephen Frears,Peter Morgan,"Helen Mirren, Michael Sheen, James Cromwell","After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.","English, German, French","United Kingdom, United States, France, Italy",Won 1 Oscar. 97 wins & 97 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.3,"117,005",tt0436697,movie,N/A,"$56,441,711",N/A,N/A,True
Beetlejuice,1988,PG,30 Mar 1988,92 min,"Comedy, Fantasy",Tim Burton,"Michael McDowell, Larry Wilson, Warren Skaaren","Alec Baldwin, Geena Davis, Michael Keaton","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",English,United States,Won 1 Oscar. 7 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYjkwNzVlNDEtMTJlNy00OTdlLTljYWItM2RkZmZkYzY3YjM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.5,"402,265",tt0094721,movie,N/A,"$74,664,632",N/A,N/A,True
Why Did I Get Married?,2007,PG-13,12 Oct 2007,113 min,"Comedy, Drama, Romance",Tyler Perry,Tyler Perry,"Tyler Perry, Janet Jackson, Sharon Leal",The big-screen adaptation of Perry's stage play about the trials of marriage and what happens to one family when a sexy young temptress arrives on the scene.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjAzMDM0Nzg3OV5BMl5BanBnXkFtZTcwNzMxOTI1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,5.9,"14,134",tt0906108,movie,N/A,"$55,204,525",N/A,N/A,True
Little Women,2019,PG,25 Dec 2019,135 min,"Drama, Romance",Greta Gerwig,"Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh","19th century Massachusetts. While the March sisters - Jo, Meg, Amy, and Beth - enter the threshold of womanhood, they go through many ups and downs in life and endeavor to make important decisions that can affect their future.","English, French",United States,Won 1 Oscar. 78 wins & 239 nominations total,https://m.media-amazon.com/images/M/MV5BMWMzYjNiZWMtMDg4NS00MDgyLTk5MWItOTFmNjg4NzRhZmExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.8,"265,900",tt3281548,movie,N/A,"$108,101,214",N/A,N/A,True
The Woman in Black,2012,PG-13,03 Feb 2012,95 min,"Drama, Fantasy, Horror",James Watkins,"Susan Hill, Jane Goldman","Daniel Radcliffe, Janet McTeer, Ciarán Hinds",A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.,English,"United Kingdom, United States, Sweden",5 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjEwMzIxOTg3N15BMl5BanBnXkFtZTcwMjI4ODUzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.4,"196,641",tt1596365,movie,N/A,"$54,333,290",N/A,N/A,True
When a Stranger Calls,2006,PG-13,03 Feb 2006,87 min,"Horror, Thriller",Simon West,"Jake Wade Wall, Steve Feke, Fred Walton","Camilla Belle, Tommy Flanagan, Katie Cassidy","During a babysitting gig, a high-school student is harassed by an increasingly threatening prank caller.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BZDIxMWUzOGMtMDBlZC00YzBjLTlkYjUtMTk0MjdmNDk3NTg4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,5.1,"49,587",tt0455857,movie,N/A,"$47,860,214",N/A,N/A,True
Big Fat Liar,2002,PG,08 Feb 2002,88 min,"Adventure, Comedy, Family",Shawn Levy,"Dan Schneider, Brian Robbins","Frankie Muniz, Amanda Bynes, Paul Giamatti","Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale.",English,"United States, Germany, France",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMzhmZmM1OWItMjgwMi00ZjQxLWFjNjktY2VkZTYyZjMwMWFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.5,"41,068",tt0265298,movie,N/A,"$48,360,547",N/A,N/A,True
The Deer Hunter,1978,R,23 Feb 1979,183 min,"Drama, War",Michael Cimino,"Michael Cimino, Deric Washburn, Louis Garfinkle","Robert De Niro, Christopher Walken, John Cazale",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"English, Vietnamese, French, Russian, Cantonese","United States, United Kingdom",Won 5 Oscars. 24 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BZGI4YmVhMzMtMWExMS00MGZiLTg2MmItM2I2MWZjODAyM2U5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.1,"374,425",tt0077416,movie,N/A,"$48,979,328",N/A,N/A,True
Wag the Dog,1997,R,09 Jan 1998,97 min,"Comedy, Drama",Barry Levinson,"Larry Beinhart, Hilary Henkin, David Mamet","Dustin Hoffman, Robert De Niro, Anne Heche","Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a Presidential sex scandal.","English, Albanian",United States,Nominated for 2 Oscars. 2 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNmEwNzk5ZTYtNGUzOC00ZThjLTk3NGYtMDQ5MzNiYzQ0ZTNkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.1,"90,313",tt0120885,movie,N/A,"$43,061,945",N/A,N/A,True
The Lizzie McGuire Movie,2003,PG,02 May 2003,94 min,"Adventure, Comedy, Family",Jim Fall,"Susan Estelle Jansen, Ed Decter, John J. Strauss","Hilary Duff, Adam Lamberg, Clayton Snyder","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.","English, Italian",United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BYjliMzM1NzUtNTM4Yi00OTA4LWJjZjktMmE3N2U1Mzg2ZmM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.5,"42,898",tt0306841,movie,N/A,"$42,734,455",N/A,N/A,True
Snitch,2013,PG-13,22 Feb 2013,112 min,"Action, Drama, Thriller",Ric Roman Waugh,"Justin Haythe, Ric Roman Waugh","Dwayne Johnson, Susan Sarandon, Jon Bernthal","A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.","English, Spanish","United States, United Arab Emirates, United Kingdom",1 nomination total,https://m.media-amazon.com/images/M/MV5BNTM4MTYzNjA3Nl5BMl5BanBnXkFtZTcwMzcyNDA5OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.4,"93,951",tt0882977,movie,N/A,"$42,930,462",N/A,N/A,True
Krampus,2015,PG-13,04 Dec 2015,98 min,"Comedy, Fantasy, Horror",Michael Dougherty,"Todd Casey, Michael Dougherty, Zach Shields","Adam Scott, Toni Collette, David Koechner",A boy who has a bad Christmas accidentally summons a festive demon to his family home.,"English, German","United States, Canada",5 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjk0MjMzMTI3NV5BMl5BanBnXkFtZTgwODEyODkxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.2,"90,133",tt3850590,movie,N/A,"$42,725,475",N/A,N/A,True
The Faculty,1998,R,25 Dec 1998,104 min,"Horror, Mystery, Sci-Fi",Robert Rodriguez,"David Wechter, Bruce Kimmel, Kevin Williamson","Jordana Brewster, Clea DuVall, Laura Harris","When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings.",English,"United States, Mexico",11 nominations total,https://m.media-amazon.com/images/M/MV5BYWQ5Njk0MzUtZTliZC00ODgzLTlmZTEtZGY0NDgyMTM0NGJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.6,"141,030",tt0133751,movie,N/A,"$40,283,321",N/A,N/A,True
What's Love Got to Do with It,1993,R,25 Jun 1993,118 min,"Biography, Drama, Music",Brian Gibson,"Tina Turner, Kurt Loder, Kate Lanier","Angela Bassett, Laurence Fishburne, RaéVen Kelly","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",English,United States,Nominated for 2 Oscars. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BYjAwZDAwNzAtZTBjYy00YjZhLWFhNWItYjFiYzg2YzcxOWY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"25,449",tt0108551,movie,N/A,"$39,100,956",N/A,N/A,True
Cop Land,1997,R,15 Aug 1997,105 min,"Crime, Drama, Thriller",James Mangold,James Mangold,"Sylvester Stallone, Harvey Keitel, Ray Liotta","The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.","English, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNWVjN2IzYjctMDRlNy00YzlhLTlmZmMtNWYxNzVjN2E2NDg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.0,"109,126",tt0118887,movie,N/A,"$44,862,187",N/A,N/A,True
Not Another Teen Movie,2001,R,14 Dec 2001,89 min,Comedy,Joel Gallen,"Mike Bender, Adam Jay Epstein, Andrew Jacobson","Chyler Leigh, Jaime Pressly, Chris Evans",A sendup of all the teen movies that have accumulated in the past two decades.,"English, Italian",United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BNjllYzVjNjItYjQ2Ni00OGU4LTlkYjItMDYxOTBlM2YzNDA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.8,"121,208",tt0277371,movie,N/A,"$38,252,284",N/A,N/A,True
End of Watch,2012,R,21 Sep 2012,109 min,"Action, Crime, Drama",David Ayer,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.","English, Spanish","United States, United Kingdom",3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.6,"276,650",tt1855199,movie,N/A,"$41,003,371",N/A,N/A,True
Aloha,2015,PG-13,29 May 2015,105 min,"Comedy, Drama, Romance",Cameron Crowe,Cameron Crowe,"Bradley Cooper, Rachel McAdams, Emma Stone",A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,"English, Hawaiian, Russian",United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4Mjc0NTE1NV5BMl5BanBnXkFtZTgwNzcwNTQ3NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.4,"75,942",tt1243974,movie,N/A,"$21,067,116",N/A,N/A,True
The Skulls,2000,PG-13,31 Mar 2000,106 min,"Action, Crime, Drama",Rob Cohen,John Pogue,"Joshua Jackson, Paul Walker, Hill Harper","A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a ...",English,"United States, Canada",1 nomination total,https://m.media-amazon.com/images/M/MV5BNWM4NGUzNjItZmU5ZC00ZDM3LWExYjMtMWNiNzFhN2IwNmRhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,5.6,"34,180",tt0192614,movie,N/A,"$35,046,120",N/A,N/A,True
The Theory of Everything,2014,PG-13,26 Nov 2014,123 min,"Biography, Drama, Romance",James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior",Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally.,"English, French, Ukrainian","United Kingdom, Japan, United States",Won 1 Oscar. 25 wins & 128 nominations total,https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.7,"496,044",tt2980516,movie,N/A,"$35,893,537",N/A,N/A,True
Malibu's Most Wanted,2003,PG-13,18 Apr 2003,86 min,"Comedy, Crime",John Whitesell,"Fax Bahr, Adam Small, Jamie Kennedy","Jamie Kennedy, Ryan O'Neal, Blair Underwood","A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BODM3NzE0NTMxOF5BMl5BanBnXkFtZTYwMTIzNTk5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.2,"21,287",tt0328099,movie,N/A,"$34,432,201",N/A,N/A,True
Where the Heart Is,2000,PG-13,28 Apr 2000,120 min,"Comedy, Drama, Romance",Matt Williams,"Lowell Ganz, Babaloo Mandel, Billie Letts","Natalie Portman, James Frain, Ashley Judd","A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BZjVkODJiZmQtZTM4MS00OGY5LWE5NDktNTQ1MThjZmI0MmU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.7,"37,056",tt0198021,movie,N/A,"$33,772,838",N/A,N/A,True
Lawrence of Arabia,1962,PG,02 Apr 2013,227 min,"Adventure, Biography, Drama",David Lean,"Robert Bolt, Michael Wilson","Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish","United Kingdom, United States",Won 7 Oscars. 31 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",100,8.3,"327,088",tt0056172,movie,N/A,"$45,306,425",N/A,N/A,True
Halloween II,1981,R,30 Oct 1981,92 min,Horror,Rick Rosenthal,"John Carpenter, Debra Hill","Jamie Lee Curtis, Donald Pleasence, Charles Cyphers","While Dr. Loomis hunts for Michael Myers, a traumatized Laurie is rushed to Haddonfield Memorial Hospital, and The Shape is not far behind her.",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BY2M5ZGEwZjItODgwOC00OWM3LTliYmQtNzlmY2NmODE1MzAwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.5,"106,937",tt0082495,movie,N/A,"$25,533,818",N/A,N/A,True
Into the Wild,2007,R,19 Oct 2007,148 min,"Adventure, Biography, Drama",Sean Penn,"Sean Penn, Jon Krakauer","Emile Hirsch, Vince Vaughn, Catherine Keener","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.","English, Danish",United States,Nominated for 2 Oscars. 23 wins & 106 nominations total,https://m.media-amazon.com/images/M/MV5BNTgwZTJhNWMtNzVjMy00YzQzLWI4MTAtYmJhOGQ5ZmQ3MDM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,8.1,"673,771",tt0758758,movie,N/A,"$18,354,356",N/A,N/A,True
The Last House on the Left,2009,R,13 Mar 2009,113 min,"Horror, Thriller",Dennis Iliadis,"Adam Alleca, Carl Ellsworth, Wes Craven","Garret Dillahunt, Monica Potter, Tony Goldwyn","After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge...",English,"United States, United Kingdom, South Africa",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMTM4MDAwOF5BMl5BanBnXkFtZTcwODcyMDIzMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.5,"104,446",tt0844708,movie,N/A,"$32,752,215",N/A,N/A,True
The Wedding Date,2005,PG-13,04 Feb 2005,90 min,"Comedy, Romance",Clare Kilner,"Elizabeth Young, Dana Fox","Dermot Mulroney, Debra Messing, Jack Davenport","Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BNDkxNzUxMTUtYjc2NC00NTJlLTgyMWYtYWQ2Y2JjN2ExNWQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,6.1,"57,596",tt0372532,movie,N/A,"$31,726,995",N/A,N/A,True
Halloween: Resurrection,2002,R,12 Jul 2002,90 min,"Horror, Thriller",Rick Rosenthal,"Debra Hill, John Carpenter, Larry Brand","Jamie Lee Curtis, Busta Rhymes, Brad Loree","Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.",English,"United States, Canada",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZTlhMTRiNDYtZjc3My00MDZmLWE4N2YtMGQ3YzE5ZTFiYTY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19,3.9,"51,596",tt0220506,movie,N/A,"$30,354,442",N/A,N/A,True
Clash of the Titans,2010,PG-13,02 Apr 2010,106 min,"Action, Adventure, Fantasy",Louis Leterrier,"Travis Beacham, Phil Hay, Matt Manfredi","Sam Worthington, Liam Neeson, Ralph Fiennes","Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",English,"United States, United Kingdom, Australia",4 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.8,"299,096",tt0800320,movie,N/A,"$163,214,888",N/A,N/A,True
The Princess Bride,1987,PG,09 Oct 1987,98 min,"Adventure, Comedy, Family",Rob Reiner,William Goldman,"Cary Elwes, Mandy Patinkin, Robin Wright","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",English,United States,Nominated for 1 Oscar. 7 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMjFiOTEyNGMtN2E4MC00ZjZlLTk3ZDQtNTU1ZGNiZTA1MzJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.0,"466,381",tt0093779,movie,N/A,"$30,857,814",N/A,N/A,True
The Great Debaters,2007,PG-13,25 Dec 2007,126 min,"Biography, Drama, Romance",Denzel Washington,"Robert Eisele, Jeffrey Porro, Tony Scherman","Denzel Washington, Forest Whitaker, Kimberly Elise","A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.",English,United States,10 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxMDc1NzkwMF5BMl5BanBnXkFtZTcwMDI5MjU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.5,"64,268",tt0427309,movie,22 May 2007,"$30,236,407",N/A,N/A,True
